radianti;gradi;distanza;"distanza ""normalizzata"""
0,009739;0,558003597;52,265635;1,005108365
0,025556;1,464250941;52,301842;1,005804654
0,041365;2,37003992;52,335208;1,006446308
0,057167;3,275427827;52,365967;1,007037827
0,072961;4,180357369;52,394610;1,007588654
0,088747;5,084828544;52,421634;1,008108346
0,104527;5,988955945;52,447533;1,008606404
0,120299;6,89262498;52,472802;1,009092346
0,136063;7,795835648;52,497932;1,009575615
0,15182;8,698645246;52,523411;1,010065596
0,167569;9,600996477;52,549721;1,010571558
0,183308;10,50277475;52,577337;1,011102635
0,199038;11,40403736;52,606726;1,011667808
0,214758;12,30472702;52,638351;1,012275981
0,230465;13,20467183;52,672662;1,012935808
0,24616;14,10392908;52,709899;1,013651904
0,26184;15,00232691;52,749874;1,014420654
0,277506;15,89992259;52,792341;1,015237327
0,293157;16,79665883;52,837054;1,016097192
0,308792;17,69247835;52,883771;1,016995596
0,324411;18,58738113;52,932247;1,017927827
0,340013;19,48130988;52,982243;1,018889288
0,3556;20,37437919;53,033521;1,019875404
0,37117;21,26647448;53,085845;1,020881635
0,386723;22,15759574;53,138985;1,021903558
0,402261;23,04785756;53,192681;1,022936173
0,417782;23,93714536;53,246319;1,023967673
0,433289;24,82563101;53,299069;1,024982096
0,448783;25,71337182;53,350084;1,025963154
0,464266;26,60048237;53,398500;1,026894231
0,479739;27,48701997;53,443435;1,027758365
0,495203;28,3730419;53,483994;1,028538346
0,510661;29,25872006;53,519273;1,029216788
0,526114;30,14411174;53,548356;1,029776077
0,541564;31,02933154;53,570290;1,030197885
0,557013;31,91449403;53,582346;1,030429731
0,572461;32,79959924;53,579228;1,030369769
0,587907;33,68458985;53,555520;1,029913846
0,603342;34,5689502;53,505973;1,028961019
0,618738;35,45107602;53,419998;1,027307654
0,634011;36,32615446;53,275723;1,024533135
0,648979;37,18375769;53,049668;1,020185923
0,663512;38,01643726;52,743538;1,014298808
0,67774;38,83164161;52,388968;1,007480154
0,691889;39,64231959;52,015239;1,000293058
0,706084;40,45563318;51,635767;0,992995519
0,720349;41,27295748;51,252692;0,985628692
0,734703;42,0953811;50,867897;0,978228788
0,749168;42,92416455;50,483310;0,970832885
0,763766;43,76056834;50,100900;0,963478846
0,778519;44,60585297;49,722675;0,956205288
0,793448;45,46122166;49,350687;0,949051673
0,808572;46,32776303;48,987031;0,942058288
0,82391;47,2065657;48,633851;0,935266365
0,839479;48,09860369;48,293345;0,928718173
0,855292;49,00462185;47,967744;0,922456615
0,871349;49,92462018;47,658112;0,916502154
0,887632;50,85756736;47,363635;0,910839135
0,904126;51,80260395;47,083294;0,905447962
0,920814;52,75875592;46,816034;0,900308346
0,93768;53,72510653;46,560764;0,895399308
0,954711;54,70091095;46,316360;0,890699231
0,971894;55,68542433;46,081670;0,886185962
0,989217;56,67795912;45,855513;0,881836788
1,006669;57,67788507;45,636686;0,877628577
1,02424;58,68462921;45,423966;0,873537808
1,04192;59,69761859;45,216112;0,869540615
1,059702;60,71645214;45,011871;0,865612904
1,077572;61,74032772;44,809036;0,861712231
1,095506;62,76787023;44,603202;0,857753885
1,113479;63,79764728;44,389512;0,853644462
1,131448;64,82719514;44,161067;0,849251288
1,149357;65,85330525;43,909736;0,844418
1,167198;66,87551926;43,635277;0,839139942
1,18502;67,89664464;43,344774;0,833553346
1,202883;68,92011915;43,044978;0,827788038
1,220849;69,94949512;42,742653;0,821974096
1,23899;70,98889786;42,445699;0,816263442
1,257364;72,04165051;42,160929;0,810787096
1,27594;73,10597691;41,885389;0,80548825
1,294658;74,17843931;41,612381;0,800238096
1,313458;75,25559997;41,334333;0,794891019
1,332299;76,33510975;41,046449;0,789354788
1,351193;77,41765621;40,749580;0,783645769
1,370161;78,50444255;40,445849;0,777804788
1,389228;79,59690118;40,137564;0,771876231
1,40842;80,69652178;39,827098;0,765905731
1,427765;81,80490864;39,516780;0,759938077
1,447285;82,92332225;39,208829;0,754015942
1,467004;84,05313773;38,905316;0,748179154
1,486939;85,19532909;38,608143;0,742464288
